_address	name	description	unit	type	len	factor	formula	offset	role	room	cw	isScale
33634	VD-WW-Tag-WP6	Verdichter Warmwasser Tag Leistungsaufnahme- Wärmepumpe 6		uint16be	1	1		0	value			
33635	VD-WW-Summe-WP6	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 6		uint16be	1	1		0	value			
33636	VD-WW-Summe-WP6	Verdichter Warmwasser Summe Leistungsaufnahme - Wärmepumpe 6		uint16be	1	1		0	value			
33637	VD1-Heizen	Laufzeit Verdichter 1 Heizen - Wärmepumpe 6	h	uint16be	1	1		0	value			
33638	VD2-Heizen	Laufzeit Verdichter 2 Heizen - Wärmepumpe 6	h	uint16be	1	1		0	value			
33639	VD12-Heizen	Laufzeit Verdichter 1/2 Heizen - Wärmepumpe 6	h	uint16be	1	1		0	value			
33640	VD1-WW	Laufzeit Verdichter 1 Warmwasser- Wärmepumpe 6	h	uint16be	1	1		0	value			
33641	VD2-WW	Laufzeit Verdichter 2 Warmwasser- Wärmepumpe 6	h	uint16be	1	1		0	value			
33642	VD12-WW	Laufzeit Verdichter 1/2 Warmwasser- Wärmepumpe 6	h	uint16be	1	1		0	value			
33643	VD1-Kuehlen	Laufzeit Verdichter Kühlen - Wärmepumpe 6	h	uint16be	1	1		0	value			
33644	VD-Heizen-WP1	Laufzeit Verdichter Heizen - Wärmepumpe 1	h	uint16be	1	1		0	value			
33645	VD-WW-WP1	Laufzeit Verdichter Warmwasser - Wärmepumpe 1	h	uint16be	1	1		0	value			
33646	VD-Heizen-WP2	Laufzeit Verdichter Heizen - Wärmepumpe 2	h	uint16be	1	1		0	value			
33647	VD-WW-WP2	Laufzeit Verdichter Warmwasser - Wärmepumpe 2	h	uint16be	1	1		0	value			
33648	VD-Heizen-WP3	Laufzeit Verdichter Heizen - Wärmepumpe 3	h	uint16be	1	1		0	value			
33649	VD-WW-WP3	Laufzeit Verdichter Warmwasser - Wärmepumpe 3	h	uint16be	1	1		0	value			
33650	VD-Heizen-WP4	Laufzeit Verdichter Heizen - Wärmepumpe 4	h	uint16be	1	1		0	value			
33651	VD-WW-WP4	Laufzeit Verdichter Warmwasser - Wärmepumpe 4	h	uint16be	1	1		0	value			
33652	VD-Heizen-WP5	Laufzeit Verdichter Heizen - Wärmepumpe 5	h	uint16be	1	1		0	value			
33653	VD-WW-WP5	Laufzeit Verdichter Warmwasser - Wärmepumpe 5	h	uint16be	1	1		0	value			
33654	VD-Heizen-WP6	Laufzeit Verdichter Heizen - Wärmepumpe 6	h	uint16be	1	1		0	value			
33655	VD-WW-WP6	Laufzeit Verdichter Warmwasser - Wärmepumpe 6	h	uint16be	1	1		0	value			
35001	SG_ready_Betriebszustand	SG Ready Betriebszustand		uint16be	1	1		0	indicator			
35002	Reglerkennung	Reglerkennung		uint16be	1	1		0	value			
