_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
33011	WM-WRG-Tag	Wärmemenge-WRG - Tag	kWh	uint16be	1	1	0		value.power.consumption			
33012	WM-WRG-Summe	Wärmemenge-WRG - Summe	kWh	uint16be	1	1	0		value.power.consumption			
33013	WM-WRG-Summe	Wärmemenge-WRG - Summe	MWh	uint16be	1	1	0		value.power.consumption			
33014	WM-Solar-HZ-Tag	Wärmemenge Solar HZ - Tag	kWh	uint16be	1	1	0		value.power.consumption			
33015	WM-Solar-HZ-Summe	Wärmemenge Solar HZ - Summe	kWh	uint16be	1	1	0		value.power.consumption			
33016	WM-Solar-HZ-Summe	Wärmemenge Solar HZ - Summe	MWh	uint16be	1	1	0		value.power.consumption			
33017	WM-Solar-WW-Tag	Wärmemenge Solar WW - Tag	kWh	uint16be	1	1	0		value.power.consumption			
33018	WM-Solar-WW-Summe	Wärmemenge Solar WW - Summe	kWh	uint16be	1	1	0		value.power.consumption			
33019	WM-Solar-WW-Summe	Wärmemenge Solar WW - Summe	MWh	uint16be	1	1	0		value.power.consumption			
33020	WM-Kuehlen_Summe	Wärmemenge Kühlen - Summe	kWh	uint16be	1	1	0		value.power.consumption			
33021	WM-Kuehlen_Summe	Wärmemenge Kühlen - Summe	MWh	uint16be	1	1	0		value.power.consumption			
33022	P-Heizung-Tag	P-Heizung - Tag	kWh	uint16be	1	1	0		value.power.consumption			
33023	P-Heizung-Summe	P-Heizung - Summe	kWh	uint16be	1	1	0		value.power.consumption			
33024	P-Heizung-Summe	P-Heizung - Summe	MWh	uint16be	1	1	0		value.power.consumption			
33025	P-WW-Tag	P-Warmwasser - Tag	kWh	uint16be	1	1	0		value.power.consumption			
33026	P-WW-Summe	P-Warmwasser - Summe	kWh	uint16be	1	1	0		value.power.consumption			
33027	P-WW-Summe	P-Warmwasser - Summe	MWh	uint16be	1	1	0		value.power.consumption			
33028	Verdichter-Heizen	Verdichter - Heizen	h	uint16be	1	1	0		value			
33029	Verdichter-Kuehlen	Verdichter - Kühlen	h	uint16be	1	1	0		value			
33030	Verdichter-WW	Verdichter - Warmwasser	h	uint16be	1	1	0		value			
33031	Elektr-NE-Heizen	Elektr. Nacherwärmung - Heizen	h	uint16be	1	1	0		value			
33032	Elektr-NE-WW	Elektr. Nacherwärung - Warmwasser	h	uint16be	1	1	0		value			
35001	SG_ready_Betriebszustand	SG Ready Betriebszustand		uint16be	1	1	0		indicator			
35002	Reglerkennung	Reglerkennung		uint16be	1	1	0		value			
